1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
1098,866.0,4.0,No,403,Unf,400,0.0,483,RFn,1976.0,1964,TA,10480,80.0,660.0,69,6,7,803,0.0,1976,1976,205000
792,348.0,3.0,No,0,Unf,576,0.0,0,None,1981.0,1140,TA,8800,55.0,0.0,160,7,4,576,0.0,1910,2004,96500
894,0.0,3.0,No,702,BLQ,192,0.0,450,RFn,1967.0,894,Gd,9764,57.0,0.0,0,7,5,894,0.0,1967,2003,130000
1512,1142.0,4.0,Mn,619,BLQ,435,0.0,619,Unf,1968.0,2654,Gd,11029,69.0,220.0,65,7,6,1054,0.0,1968,1984,250000
768,0.0,2.0,Av,660,Unf,108,0.0,396,Fin,1974.0,768,TA,7200,60.0,0.0,0,8,5,768,0.0,1972,2003,133900
672,0.0,2.0,None,0,None,0,0.0,0,None,1981.0,912,TA,6240,52.0,0.0,0,5,4,0,0.0,1947,1950,80500
1040,1040.0,5.0,Av,650,Rec,390,0.0,504,Unf,1969.0,2080,Fa,11606,70.0,192.0,0,5,5,1040,0.0,1969,1969,135000
1040,0.0,3.0,No,732,GLQ,308,0.0,576,Unf,2000.0,1040,Gd,12464,82.0,0.0,0,5,5,1040,0.0,1996,1996,152000
1149,467.0,3.0,Mn,370,LwQ,779,0.0,216,Unf,1926.0,1616,Gd,5400,40.0,0.0,0,7,6,1149,0.0,1926,2004,152000
1047,0.0,2.0,No,0,Unf,641,0.0,273,Unf,1954.0,1047,TA,10800,60.0,0.0,0,7,4,641,0.0,1885,1995,100000
